global_step,episode_count,replay_size,epsilon,loss,mean_reward_100,expert_action_loss,expert_bc_weight,expert_replay_size,action_counts,connection_status
10099,42,10099,0.8400991666666666,0.0025984508270630612,-5.407347748477367,0.0,0.0,0,"{""0"": 1788, ""1"": 1516, ""2"": 1546, ""3"": 1548, ""4"": 2212, ""5"": 1489}",connected
10199,42,10199,0.8385158333333333,0.0027621823019580915,-5.407347748477367,0.0,0.0,0,"{""0"": 1802, ""1"": 1534, ""2"": 1559, ""3"": 1558, ""4"": 2246, ""5"": 1500}",connected
10299,42,10299,0.8369325000000001,0.0027413618651917202,-5.407347748477367,0.0,0.0,0,"{""0"": 1818, ""1"": 1551, ""2"": 1574, ""3"": 1570, ""4"": 2270, ""5"": 1516}",connected
10399,42,10399,0.8353491666666667,0.0028222136152908205,-5.407347748477367,0.0,0.0,0,"{""0"": 1834, ""1"": 1566, ""2"": 1586, ""3"": 1580, ""4"": 2302, ""5"": 1531}",connected
10499,44,10499,0.8337658333333333,0.0027501252066576853,-5.382996521953663,0.0,0.0,0,"{""0"": 1849, ""1"": 1585, ""2"": 1603, ""3"": 1602, ""4"": 2321, ""5"": 1539}",connected
10599,44,10599,0.8321825,0.0027922023920109494,-5.382996521953663,0.0,0.0,0,"{""0"": 1866, ""1"": 1597, ""2"": 1614, ""3"": 1626, ""4"": 2338, ""5"": 1558}",connected
10699,44,10699,0.8305991666666667,0.0028261344257043673,-5.382996521953663,0.0,0.0,0,"{""0"": 1879, ""1"": 1620, ""2"": 1629, ""3"": 1642, ""4"": 2360, ""5"": 1569}",connected
10799,46,10799,0.8290158333333333,0.003154255500994623,-5.305324209327607,0.0,0.0,0,"{""0"": 1898, ""1"": 1636, ""2"": 1642, ""3"": 1661, ""4"": 2378, ""5"": 1584}",connected
10899,46,10899,0.8274325,0.0028595046664122493,-5.305324209327607,0.0,0.0,0,"{""0"": 1915, ""1"": 1650, ""2"": 1665, ""3"": 1675, ""4"": 2403, ""5"": 1591}",connected
10999,48,10999,0.8258491666666667,0.003144089065026492,-5.0234546820089845,0.0,0.0,0,"{""0"": 1937, ""1"": 1665, ""2"": 1681, ""3"": 1689, ""4"": 2423, ""5"": 1604}",connected
11099,48,11099,0.8242658333333334,0.003099976599914953,-5.0234546820089845,0.0,0.0,0,"{""0"": 1962, ""1"": 1679, ""2"": 1697, ""3"": 1703, ""4"": 2439, ""5"": 1619}",connected
11199,48,11199,0.8226825,0.0028376609209226442,-5.0234546820089845,0.0,0.0,0,"{""0"": 1986, ""1"": 1691, ""2"": 1711, ""3"": 1723, ""4"": 2459, ""5"": 1629}",connected
11299,49,11299,0.8210991666666667,0.0029940621566493064,-4.9976441869417165,0.0,0.0,0,"{""0"": 2003, ""1"": 1711, ""2"": 1721, ""3"": 1736, ""4"": 2482, ""5"": 1646}",connected
